ticker,status,cik,full_text_path,risk_factors_path,mda_path
MKDTY,cik_not_found,,,,
INDO,no_filing,0001757840,,,
MNPR,cached,,data/raw/s1_filings/MNPR_2019-12-19.txt,data/raw/s1_filings/MNPR_2019-12-19_risk_factors.txt,data/raw/s1_filings/MNPR_2019-12-19_mda.txt
CIIC,cik_not_found,,,,
HCCO,cik_not_found,,,,
OCFT,cik_not_found,,,,
SPT,cached,,data/raw/s1_filings/SPT_2019-12-13.txt,data/raw/s1_filings/SPT_2019-12-13_risk_factors.txt,data/raw/s1_filings/SPT_2019-12-13_mda.txt
BILL,cached,,data/raw/s1_filings/BILL_2019-12-12.txt,data/raw/s1_filings/BILL_2019-12-12_risk_factors.txt,data/raw/s1_filings/BILL_2019-12-12_mda.txt
EH,no_filing,0001759783,,,
LIVK,cik_not_found,,,,
XP,no_filing,0001787425,,,
LMPX,cik_not_found,,,,
ALUS,cik_not_found,,,,
CHPM,cik_not_found,,,,
PINE,no_filing,0001786117,,,
PTAC,cik_not_found,,,,
CAN,no_filing,0001780652,,,
GRNV,cik_not_found,,,,
SITM,cached,,data/raw/s1_filings/SITM_2019-11-21.txt,data/raw/s1_filings/SITM_2019-11-21_risk_factors.txt,data/raw/s1_filings/SITM_2019-11-21_mda.txt
AMHC,cik_not_found,,,,
SAQN,cik_not_found,,,,
YAYO,cik_not_found,,,,
ETNB,cik_not_found,,,,
CNSP,cached,,data/raw/s1_filings/CNSP_2019-11-08.txt,data/raw/s1_filings/CNSP_2019-11-08_risk_factors.txt,data/raw/s1_filings/CNSP_2019-11-08_mda.txt
JIH,cik_not_found,,,,
KRKR,no_filing,0001779476,,,
MOHOY,cik_not_found,,,,
SRAC,cik_not_found,,,,
TELA,cached,,data/raw/s1_filings/TELA_2019-11-08.txt,data/raw/s1_filings/TELA_2019-11-08_risk_factors.txt,data/raw/s1_filings/TELA_2019-11-08_mda.txt
CNTG,cik_not_found,,,,
DFNS,no_filing,0001787518,,,
GRTX,cached,,data/raw/s1_filings/GRTX_2019-11-07.txt,data/raw/s1_filings/GRTX_2019-11-07_risk_factors.txt,data/raw/s1_filings/GRTX_2019-11-07_mda.txt
SICP,cik_not_found,,,,
MCMJ,cik_not_found,,,,
XHG,no_filing,0001769256,,,
DUO,no_filing,0001750593,,,
FSRV,cik_not_found,,,,
SFTW,cik_not_found,,,,
OYST,cik_not_found,,,,
RAPT,cik_not_found,,,,
CABA,cached,,data/raw/s1_filings/CABA_2019-10-25.txt,data/raw/s1_filings/CABA_2019-10-25_risk_factors.txt,data/raw/s1_filings/CABA_2019-10-25_mda.txt
DAO,no_filing,0001781753,,,
PAIYY,no_filing,0001757143,,,
PAVS,no_filing,0001751876,,,
PGNY,cached,,data/raw/s1_filings/PGNY_2019-10-25.txt,data/raw/s1_filings/PGNY_2019-10-25_risk_factors.txt,data/raw/s1_filings/PGNY_2019-10-25_mda.txt
PHAT,cached,,data/raw/s1_filings/PHAT_2019-10-25.txt,data/raw/s1_filings/PHAT_2019-10-25_risk_factors.txt,data/raw/s1_filings/PHAT_2019-10-25_mda.txt
TFFP,cik_not_found,,,,
